CYP4V2,Q9NUQ9,,
CYP7A1,P00156,,
CYP8B1,Q9NYF0,,
CYRIB,Q14118,,
MT-CYB,Q9UIK4,,
DACT1,O43293,,
DAG1,P14868,,
DAPK2,Q6PI48,,
DAPK3,P09172,,
DARS1,P07108,,
DARS2,Q9UJU6,,
DBH,Q10586,,
DBI,P81605,,
DBNL,Q96SD1,,
DBP,P07585,,
DCD,Q9UJW0,,
DCLRE1C,O43602,,
DCN,O94760,,
DCTN4,O95865,,
DCX,P0DPQ6,,
DDAH1,P35638,,
DDAH2,P30046,,
DDIT3,O00571,,
DDIT3,Q16698,,
DDT,P59665,,
DDX3X,P59666,,
DECR1,P60022,,
DEFA1,P81534,,
DEFA1B,O15263,,
DEFA3,O43583,,
DEFB1,O75140,,
DEFB103A,P17661,,
DEFB103B,Q6ICB0,,
DEFB4A,O75907,,
DEFB4B,Q9Y6T7,,
DENR,Q13574,,
DEPDC5,Q9UBM7,,
DES,Q86SQ9,,
DESI1,Q9UQ10,,
DGAT1,Q92620,,
DGKB,Q8IX18,,
DGKZ,O60879,,
DHCR7,Q9UPY3,,
DHDDS,Q92813,,
DHDH,Q6IC98,,
DHX38,Q9NRI5,,
DHX40,O94907,,
DIAPH2,Q9UBT3,,
DICER1,P63167,,
DIO2,Q96QB1,,
GRAMD4,Q9Y238,,
DISC1,P09622,,
DKK1,O43261,,
DKK4,Q6UYE1,,
DYNLL1,P80370,,
DLC1,O00548,,
DLEC1,Q9NPF5,,
DLD,Q9UGM3,,
DLEU1,P11532,,
DLEU7,Q13316,,
DLK1,Q9Y222,,
DLL1,Q5VZB9,,
DMAP1,Q8WWF6,,
DMBT1,Q9NZQ0,,
DMD,Q13217,,
DMP1,P24855,,
DMTF1,Q8NFT8,,
DMRTA1,O00429,,
DNAJB3,P26358,,
DNAJC27,P04053,,
DNAJC3,Q14184,,
DNASE1,Q8N1I0,,
DNER,Q9P104,,
DNM1L,P27487,,
DNMT1,Q6W0C5,,
DNTT,Q07507,,
DOC2B,Q12882,,
DOCK4,Q14117,,
DOK5,Q8TE96,,
DPP4,P14416,,
DPPA3,P35462,,
DPT,Q8IZU8,,
DPYD,Q9NZW4,,
DPYS,Q9NRD9,,
DQX1,Q9NRD8,,
DRD2,Q9UNI6,,
DRD3,Q9BV47,,
DSEL,Q16828,,
DSPP,Q99956,,
DUOX1,Q13627,,
DUOX2,O43781,,
DUSP12,Q01094,,
DUSP26,Q14213,,
DUSP6,Q15125,,
DUSP9,P0DPD6,,
DYRK1A,Q19T08,,
DYRK3,Q8WWZ3,,
E2F1,P52799,,
EBI3,Q15768,,
EBP,P01133,,
ECE2,P18146,,
ECSCR,P11161,,
EDARADD,Q06889,,
EFNB2,Q9H4M9,,
EFNB3,Q9H9B1,,
EGF,Q96KQ7,,
EGR1,P19525,,
EGR2,Q9NZJ5,,
EGR3,Q9P2K8,,
EHD1,Q13144,,
EHMT1,O00303,,
EHMT2,Q9UBQ5,,
EIF2AK2,Q14240,,
EIF2AK3,Q13541,,
EIF2AK4,Q04637,,
EIF2B5,O60841,,
EIF3F,P08246,,
EIF3K,Q15717,,
EIF4A2,Q12926,,
EIF4EBP1,P41970,,
EIF4G1,Q92556,,
EIF5B,P15502,,
ELANE,Q9NYP7,,
ELAVL1,Q9H5J4,,
ELAVL2,Q8N8S7,,
ELK3,Q6UWT2,,
ELMO1,P06733,,
ELN,P09104,,
ELOVL5,Q8TC92,,
ELOVL6,O43768,,
ENAH,P49961,,
ENHO,O75355,,
ENO1,Q09472,,
ENO2,Q99814,,
ENOX1,P54764,,
ENSA,P54762,,
ENTPD1,P29323,,
ENTPD3,P07099,,
EP300,P34913,,
EPAS1,P01588,,
EPHA4,P11678,,
EPHB1,P19235,,
EPHB2,P04626,,
EPHX1,P21860,,
EPHX2,Q15303,,
EPO,Q4G0M1,,
EPX,P11308,,
EPOR,Q12809,,
ERBB2,Q96HE7,,
ERBB3,Q9BS26,,
ERBB4,Q9UJM3,,
ERFE,O42043,,
ERG,P63123,,
KCNH2,Q9QC07,,
ERO1A,Q9NQ30,,
ERP44,P03372,,
ERRFI1,Q92731,,
ERVK-18,P11474,,
ERVK-18,O95718,,
ERVK-18,P62508,,
ESM1,P13804,,
ESR1,P41162,,
ESR2,P57679,,
ESRRA,Q2M3D2,,
ESRRB,Q96A65,,
ESRRG,Q8TAG9,,
ETFA,Q9Y2C4,,
ETV3,Q9NPD3,,
EVC,Q16394,,
EXOC3L2,Q93063,,
EXOC4,O00167,,
EXOC6,Q5T1H1,,
EXOG,P00734,,
EXOSC4,P25116,,
EXT1,P55085,,
EXT2,O00254,,
EYA2,Q96RI0,,
EYS,P13726,,
F2,P12259,,
F2R,P08709,,
F2RL1,O00519,,
F2RL2,Q7L5A8,,
F2RL3,P07148,,
F3,P12104,,
F5,P05413,,
F7,P15090,,
FAAH,Q01469,,
FA2H,P51161,,
FABP1,O60427,,
FABP2,O95864,,
FABP3,Q9Y5Q0,,
FABP4,Q9UNN5,,
FABP5,Q9BWQ8,,
FABP6,Q3B820,,
FADS1,Q9Y5M1,,
FADS2,P98173,,
FADS3,P58499,,
FAF1,Q92520,,
FAIM2,Q96BQ1,,
FAM161A,Q5VT40,,
FAM215A,Q9BXW9,,
FAM3A,Q12884,,
FAM3B,P48023,,
FAM3C,Q14517,,
FAM3D,P22087,,
FAM78B,Q8WUP2,,
FANCD2,P35555,,
FAP,P35556,,
FASLG,P09467,,
FAT1,Q9HAH7,,
FBL,Q9UJT9,,
FBLIM1,Q9NVF7,,
FBN1,Q9NRD0,,
FBN2,Q969H0,,
FBP1,P31994,,
FBRS,P08637,,
FBXL7,O75015,,
FBXO28,P55899,,
FBXO8,O94868,,
FBXW7,O75636,,
FCGR2B,Q9Y5B0,,
FCGR3A,P22570,,
FCGR3B,Q9UK73,,
FCGRT,Q9UGM5,,
FCHSD2,O14842,,
FCN3,O15552,,
CTDP1,O14843,,
FDXR,Q5NUL3,,
FEM1B,P02675,,
FETUB,P05230,,
FFAR1,Q92914,,
FFAR2,Q92915,,
FFAR3,O95750,,
FFAR4,P09038,,
FGB,Q9GZV9,,
FGF1,Q8TAT2,,
FGF11,P11362,,
FGF14,P22455,,
FGF19,Q08830,,
FGF2,Q14314,,
FGF23,P49789,,
FGFBP3,Q13642,,
FGFR1,Q5TD97,,
FGFR4,Q8N6M3,,
FGL1,Q02790,,
FGL2,Q13451,,
FHIT,Q8NFF5,,
FHL1,Q13045,,
FHL5,P21333,,
FITM2,O75955,,
FKBP4,P41440,,
FKBP5,P17948,,
FLAD1,Q9Y5Y0,,
FLII,P31513,,
FLNA,P02751,,
FLOT1,Q9H479,,
SLC19A1,Q9H6D8,,
FLT1,Q8NAU1,,
FLVCR1,Q04609,,
FMO3,Q9HBA9,,
FN1,P15328,,
FN3K,P14207,,
FNDC4,P01100,,
FNDC5,P15407,,
FOLH1,Q9Y261,,
FOLH1B,P55318,,
FOLR1,Q99958,,
FOLR2,Q9UJU5,,
FOS,Q08050,,
FOSL1,Q12778,,
FOXA2,O43524,,
FOXA3,A8MYZ6,,
FOXC2,Q9H334,,
FOXD3,Q9BZS1,,
FOXM1,A2A2Y4,,
FOXO1,Q5TBA9,,
FOXO3,O14926,,
FOXO6,Q9NQT6,,
FOXP1,Q9BTV5,,
FOXP3,Q9BXM9,,
FRMD3,P19883,,
FRY,O95633,,
FSCN2,Q96AE4,,
FSCN3,Q10981,,
FSD1,P51993,,
FSD1L,Q16595,,
FST,Q96DB9,,
FSTL3,Q9ULV1,,
FUBP1,P27469,,
FUT2,P35575,,
FUT6,Q9NQR9,,
FXN,P11413,,
FXYD5,Q06546,,
FZD4,Q06547,,
G0S2,P48169,,
G6PC1,P18507,,
G6PC2,Q99928,,
G6PD,Q99259,,
GABPA,Q05329,,
GABPB1,Q8TAE8,,
GABRA4,P22466,,
GABRG2,Q8N6F7,,
GABRG3,Q99999,,
GAD1,Q10471,,
GAD2,Q9UBC7,,
GADD45GIP1,O43603,,
GAL,P17677,,
GCSAM,P04406,,
GAL3ST1,Q14393,,
GALNT2,P01350,,
GALP,P23771,,
GALR2,P43694,,
GAP43,Q92908,,
GAPDH,Q86YP4,,
GAS6,P32456,,
GAST,P02774,,
